id,pet_type,scheme,factor,option,rate,limit
14395,dog,bronze,base_rate,,93.22347991521335,2250.0
14396,dog,bronze,multipet,no,1.0,2250.0
14397,dog,bronze,multipet,yes,0.8,2250.0
14398,dog,bronze,copay,no,1.0,2250.0
14399,dog,bronze,copay,yes,0.8,2250.0
14400,dog,bronze,neutered_gender,female: yes,1.0,2250.0
14401,dog,bronze,neutered_gender,female: no,1.05,2250.0
14402,dog,bronze,neutered_gender,male: yes,1.0,2250.0
14403,dog,bronze,neutered_gender,male: no,1.0,2250.0
14404,dog,bronze,chipped,yes,1.0,2250.0
14405,dog,bronze,chipped,no,1.0,2250.0
14406,dog,bronze,vaccinations,yes,1.0,2250.0
14407,dog,bronze,vaccinations,no,1.0,2250.0
14408,dog,bronze,pre_existing,yes,1.0,2250.0
14409,dog,bronze,pre_existing,no,1.0,2250.0
14410,dog,bronze,aggressive,yes,999.0,2250.0
14411,dog,bronze,aggressive,no,1.0,2250.0
14412,dog,bronze,postcode,ab,0.8699999999999999,2250.0
14413,dog,bronze,postcode,al,1.15,2250.0
14414,dog,bronze,postcode,b,1.0,2250.0
14415,dog,bronze,postcode,ba,1.0,2250.0
14416,dog,bronze,postcode,bb,0.9044718073209934,2250.0
14417,dog,bronze,postcode,bd,1.07,2250.0
14418,dog,bronze,postcode,bh,0.96,2250.0
14419,dog,bronze,postcode,bl,0.9800000000000001,2250.0
14420,dog,bronze,postcode,bn,0.99,2250.0
14421,dog,bronze,postcode,br,1.08,2250.0
14422,dog,bronze,postcode,bs,1.1523960000000002,2250.0
14423,dog,bronze,postcode,bt,0.94,2250.0
14424,dog,bronze,postcode,ca,1.0133016304995335,2250.0
14425,dog,bronze,postcode,cb,1.03,2250.0
14426,dog,bronze,postcode,cf,0.868,2250.0
14427,dog,bronze,postcode,ch,1.15,2250.0
14428,dog,bronze,postcode,cm,1.003,2250.0
14429,dog,bronze,postcode,co,1.07,2250.0
14430,dog,bronze,postcode,cr,1.15,2250.0
14431,dog,bronze,postcode,ct,1.05,2250.0
14432,dog,bronze,postcode,cv,0.9137118883646743,2250.0
14433,dog,bronze,postcode,cw,1.05,2250.0
14434,dog,bronze,postcode,da,1.15,2250.0
14435,dog,bronze,postcode,dd,0.77,2250.0
14436,dog,bronze,postcode,de,1.05,2250.0
14437,dog,bronze,postcode,dg,0.8500000000000001,2250.0
14438,dog,bronze,postcode,dh,1.03,2250.0
14439,dog,bronze,postcode,dl,1.06,2250.0
14440,dog,bronze,postcode,dn,0.88,2250.0
14441,dog,bronze,postcode,dt,1.0,2250.0
14442,dog,bronze,postcode,dy,1.097687780982734,2250.0
14443,dog,bronze,postcode,e,1.0,2250.0
14444,dog,bronze,postcode,ec,1.15,2250.0
14445,dog,bronze,postcode,eh,1.08,2250.0
14446,dog,bronze,postcode,en,1.05,2250.0
14447,dog,bronze,postcode,ex,1.02,2250.0
14448,dog,bronze,postcode,fk,0.96,2250.0
14449,dog,bronze,postcode,fy,0.95,2250.0
14450,dog,bronze,postcode,g,0.97,2250.0
14451,dog,bronze,postcode,gl,0.97,2250.0
14452,dog,bronze,postcode,gu,1.093,2250.0
14453,dog,bronze,postcode,ha,1.15,2250.0
14454,dog,bronze,postcode,hd,1.06,2250.0
14455,dog,bronze,postcode,hg,0.94,2250.0
14456,dog,bronze,postcode,hp,1.08,2250.0
14457,dog,bronze,postcode,hr,0.9199999999999999,2250.0
14458,dog,bronze,postcode,hs,0.7200000000000001,2250.0
14459,dog,bronze,postcode,hu,1.05,2250.0
14460,dog,bronze,postcode,hx,0.98,2250.0
14461,dog,bronze,postcode,ig,1.05,2250.0
14462,dog,bronze,postcode,ip,1.008,2250.0
14463,dog,bronze,postcode,iv,0.87,2250.0
14464,dog,bronze,postcode,ka,0.9599999999999999,2250.0
14465,dog,bronze,postcode,kt,1.05,2250.0
14466,dog,bronze,postcode,kw,0.7399999999999999,2250.0
14467,dog,bronze,postcode,ky,0.94,2250.0
14468,dog,bronze,postcode,l,1.05,2250.0
14469,dog,bronze,postcode,la,0.8900000000000001,2250.0
14470,dog,bronze,postcode,ld,0.86,2250.0
14471,dog,bronze,postcode,le,0.883,2250.0
14472,dog,bronze,postcode,ll,0.8281600959734219,2250.0
14473,dog,bronze,postcode,ln,0.89,2250.0
